"pid","credit","site","provenience","label","_date","object_type","time_per","obj_group","layout","collection","order","thumbnail","full","manifest"
"obj01","Archeological Society of Virginia","44NH0507",,"Bone handle from an unknown context",2017,"artifact","1700-1799","kitchen","eyreville_item","eyreville",0,"/img/derivatives/iiif/images/obj01/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj01/full/full/0/default.jpg","/img/derivatives/iiif/obj01/manifest.json"
"obj03","Mike Clem, Department of Historic Resources","44NH0507","multiple","Various pipe stems including English, Dutch, and locally made.",2019,"artifact","1600-1750","personal","eyreville_item","eyreville",1,"/img/derivatives/iiif/images/obj03/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj03/full/full/0/default.jpg","/img/derivatives/iiif/obj03/manifest.json"
"obj04","Mike Clem, Department of Historic Resources","44NH0507",,"Farthing",2017,"artifact",,"coin","eyreville_item","eyreville",2,"/img/derivatives/iiif/images/obj04/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj04/full/full/0/default.jpg","/img/derivatives/iiif/obj04/manifest.json"
"obj05","Mike Clem, Department of Historic Resources","44NH0507","Feature 13","Plan view of midden/cellar feature 13",2019,"plan view",,,"eyreville_item","eyreville",3,"/img/derivatives/iiif/images/obj05/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj05/full/full/0/default.jpg","/img/derivatives/iiif/obj05/manifest.json"
"obj06","Mike Clem, Department of Historic Resources","44NH0507","Feature 13","Various artifacts recovered from the cellar featur, including local and imported pipes, coarse earthenware, and oyster shell.",2019,"field",,"personal, domestic, faunal","eyreville_item","eyreville",4,"/img/derivatives/iiif/images/obj06/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj06/full/full/0/default.jpg","/img/derivatives/iiif/obj06/manifest.json"
"obj07","Mike Clem, Department of Historic Resources","44NH0507",,"View of the Bay from the site",2019,"landscape",,,"eyreville_item","eyreville",5,"/img/derivatives/iiif/images/obj07/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj07/full/full/0/default.jpg","/img/derivatives/iiif/obj07/manifest.json"
"obj08","Mike Clem, Department of Historic Resources","44NH0507",,"View of the Bay from the site",2019,"landscape",,,"eyreville_item","eyreville",6,"/img/derivatives/iiif/images/obj08/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj08/full/full/0/default.jpg","/img/derivatives/iiif/obj08/manifest.json"
"obj09","Mike Clem, Department of Historic Resources","44NH0507",,"Locally-made pipe with cord-impressed decoration",2019,"artifact",,"personal","eyreville_item","eyreville",7,"/img/derivatives/iiif/images/obj09/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj09/full/full/0/default.jpg","/img/derivatives/iiif/obj09/manifest.json"
"obj10","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",8,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/full/0/default.jpg","/img/derivatives/iiif/obj10/manifest.json"
"obj11","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",9,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11/full/full/0/default.jpg","/img/derivatives/iiif/obj11/manifest.json"
"obj12","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",10,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj12/full/full/0/default.jpg","/img/derivatives/iiif/obj12/manifest.json"
"obj13","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",11,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj13/full/full/0/default.jpg","/img/derivatives/iiif/obj13/manifest.json"
"obj14","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",12,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj14/full/full/0/default.jpg","/img/derivatives/iiif/obj14/manifest.json"
"obj15","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",13,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj15/full/full/0/default.jpg","/img/derivatives/iiif/obj15/manifest.json"
"obj16","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",14,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj16/full/full/0/default.jpg","/img/derivatives/iiif/obj16/manifest.json"
"obj17","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",15,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj17/full/full/0/default.jpg","/img/derivatives/iiif/obj17/manifest.json"
"obj18","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",16,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj18/full/full/0/default.jpg","/img/derivatives/iiif/obj18/manifest.json"
"obj19","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",17,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj19/full/full/0/default.jpg","/img/derivatives/iiif/obj19/manifest.json"
"obj20","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",18,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj20/full/full/0/default.jpg","/img/derivatives/iiif/obj20/manifest.json"
"obj21","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",19,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj21/full/full/0/default.jpg","/img/derivatives/iiif/obj21/manifest.json"
"obj22","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",20,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj22/full/full/0/default.jpg","/img/derivatives/iiif/obj22/manifest.json"
"obj23","Placeholder","44NH0507","placeholder","placeholder",2019,"placeholder",,"placeholder","eyreville_item","eyreville",21,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj23/full/full/0/default.jpg","/img/derivatives/iiif/obj23/manifest.json"
"obj02","Mike Clem, Department of Historic Resources","44NH0507","multiple","A drone view of a structure",2018,"landscape",,"placeholder","eyreville_item","eyreville",22,"/img/derivatives/iiif/images/obj02/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj02/full/full/0/default.jpg","/img/derivatives/iiif/obj02/manifest.json"
